TIME(MS),COMMAND,VALUE
 000102 ,5      ,1
 000924 ,5      ,0
 000924 ,6      ,1
 001804 ,6      ,0
 001804 ,7      ,1
 002608 ,7      ,0
 002608 ,8      ,1
 003467 ,8      ,0
 003467 ,5      ,1
 004677 ,6      ,1
 005354 ,7      ,1
 006031 ,8      ,1
 006709 ,9      ,1
 007090 ,5      ,0
 007090 ,6      ,0
 007090 ,7      ,0
 007090 ,8      ,0
 007090 ,9      ,0
 007090 ,16     ,1
 012530 ,16     ,0
 012530 ,15     ,1
 016920 ,15     ,0
 016920 ,16     ,1
 020570 ,16     ,0
 020570 ,15     ,1
 024550 ,15     ,0
 024550 ,16     ,1
 027660 ,16     ,0
 027660 ,15     ,1
 028710 ,15     ,0
 028710 ,16     ,1
 031404 ,16     ,0
 031404 ,15     ,1
 033060 ,15     ,0
 033060 ,16     ,1
 035220 ,16     ,0
 035220 ,15     ,1
 039080 ,15     ,0
 039080 ,16     ,1
 041920 ,16     ,0
 041920 ,15     ,1
 049860 ,15     ,0
 049860 ,5      ,1
 050048 ,6      ,1
 050236 ,7      ,1
 050424 ,8      ,1
 050612 ,9      ,1
 050800 ,9      ,1
 050800 ,1      ,1
 050800 ,2      ,1
 050900 ,9      ,0
 050900 ,8      ,0
 050900 ,7      ,0
 050900 ,6      ,0
 050900 ,5      ,0
 051060 ,1      ,0
 051060 ,2      ,0
 051060 ,3      ,1
 051060 ,4      ,1
 051320 ,4      ,0
 051320 ,3      ,0
 051320 ,2      ,1
 051320 ,1      ,1
 051580 ,1      ,0
 051580 ,2      ,0
 051580 ,3      ,1
 051580 ,4      ,1
 051840 ,4      ,0
 051840 ,3      ,0
 051840 ,2      ,1
 051840 ,1      ,1
 052100 ,1      ,0
 052100 ,2      ,0
 052100 ,3      ,1
 052100 ,4      ,1
 052360 ,4      ,0
 052360 ,3      ,0
 052360 ,2      ,1
 052360 ,1      ,1
 052620 ,1      ,0
 052620 ,2      ,0
 052620 ,3      ,1
 052620 ,4      ,1
 052880 ,4      ,0
 052880 ,3      ,0
 052880 ,2      ,1
 052880 ,1      ,1
 053140 ,1      ,0
 053140 ,2      ,0
 053140 ,3      ,1
 053140 ,4      ,1
 053400 ,4      ,0
 053400 ,3      ,0
 053400 ,2      ,1
 053400 ,1      ,1
 053660 ,1      ,0
 053660 ,2      ,0
 053660 ,3      ,1
 053660 ,4      ,1
 053920 ,4      ,0
 053920 ,3      ,0
 053920 ,2      ,1
 053920 ,1      ,1
 054180 ,1      ,0
 054180 ,2      ,0
 054180 ,3      ,1
 054180 ,4      ,1
 054440 ,4      ,0
 054440 ,3      ,0
 054440 ,2      ,1
 054440 ,1      ,1
 054700 ,1      ,0
 054700 ,2      ,0
 054700 ,3      ,1
 054700 ,4      ,1
 054960 ,4      ,0
 054960 ,3      ,0
 054960 ,2      ,1
 054960 ,1      ,1
 055220 ,1      ,0
 055220 ,2      ,0
 055220 ,3      ,1
 055220 ,4      ,1
